prix de la crypto : 31750.32, prix de la prédiction : 31711.125
prix crypto up : 18.528, prix de la prédiction : 18.509849548339844
prix crypto down : 0.018615, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 16:22:35
prix de la crypto : 31606.06, prix de la prédiction : 31530.032161458334
prix crypto up : 18.313, prix de la prédiction : 18.39965057373047
prix crypto down : 0.018779, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 16:07:36
prix de la crypto : 31614.09, prix de la prédiction : 31529.441276041667
prix crypto up : 18.346, prix de la prédiction : 18.32464027404785
prix crypto down : 0.018777, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 15:52:35
prix de la crypto : 31397.16, prix de la prédiction : 31301.055078125
prix crypto up : 17.958, prix de la prédiction : 17.941747665405273
prix crypto down : 0.019132, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 15:37:35
prix de la crypto : 31343.6, prix de la prédiction : 31290.715494791668
prix crypto up : 17.89, prix de la prédiction : 17.960947036743164
prix crypto down : 0.019189, prix de la prédiction : 0.02917007642487685programme toujours en cour d'exécution le : lundi 06 juin 2022 15:22:35
prix de la crypto : 31387.87, prix de la prédiction : 31331.074348958333
prix crypto up : 17.932, prix de la prédiction : 17.9241579691569
prix crypto down : 0.019161, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 15:07:36
prix de la crypto : 31409.25, prix de la prédiction : 31361.054817708333
prix crypto up : 18.005, prix de la prédiction : 17.982532501220703
prix crypto down : 0.019122, prix de la prédiction : 0.026153453315297764programme toujours en cour d'exécution le : lundi 06 juin 2022 14:52:37
prix de la crypto : 31384.58, prix de la prédiction : 31320.949348958333
prix crypto up : 17.948, prix de la prédiction : 17.964754104614258
prix crypto down : 0.019154, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 14:37:37
prix de la crypto : 31438.46, prix de la prédiction : 31363.763151041665
prix crypto up : 18.002, prix de la prédiction : 17.979419708251953
prix crypto down : 0.019081, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 14:22:38
prix de la crypto : 31360.31, prix de la prédiction : 31292.956640625
prix crypto up : 17.902, prix de la prédiction : 17.857526779174805
prix crypto down : 0.019197, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 14:07:39
prix de la crypto : 31457.33, prix de la prédiction : 31409.240364583333
prix crypto up : 18.063, prix de la prédiction : 17.980037689208984
prix crypto down : 0.019031, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 13:52:40
prix de la crypto : 31408.95, prix de la prédiction : 31333.152473958333
prix crypto up : 17.97, prix de la prédiction : 17.913658142089844
prix crypto down : 0.019111, prix de la prédiction : 0.0502458060781161programme toujours en cour d'exécution le : lundi 06 juin 2022 13:37:40
prix de la crypto : 31384.3, prix de la prédiction : 31293.292057291666
prix crypto up : 17.949, prix de la prédiction : 17.978836059570312
prix crypto down : 0.019136, prix de la prédiction : 0.02815852016210556programme toujours en cour d'exécution le : lundi 06 juin 2022 13:22:41
prix de la crypto : 31410.89, prix de la prédiction : 31332.442057291668
prix crypto up : 17.976, prix de la prédiction : 17.89646339416504
prix crypto down : 0.019106, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 13:07:42
prix de la crypto : 31511.6, prix de la prédiction : 31457.262760416666
prix crypto up : 18.17, prix de la prédiction : 18.194856643676758
prix crypto down : 0.018925, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 12:52:43
prix de la crypto : 31496.26, prix de la prédiction : 31435.014322916668
prix crypto up : 18.11, prix de la prédiction : 18.131328582763672
prix crypto down : 0.018978, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 12:37:44
prix de la crypto : 31398.16, prix de la prédiction : 31332.408854166668
prix crypto up : 17.978, prix de la prédiction : 18.060619227091472
prix crypto down : 0.0191, prix de la prédiction : 0.032508209844430286programme toujours en cour d'exécution le : lundi 06 juin 2022 12:22:45
prix de la crypto : 31430.69, prix de la prédiction : 31386.21328125
prix crypto up : 18.009, prix de la prédiction : 18.053443908691406
prix crypto down : 0.01906, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 12:07:46
prix de la crypto : 31422.53, prix de la prédiction : 31395.5765625
prix crypto up : 18.009, prix de la prédiction : 17.99201011657715
prix crypto down : 0.019047, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 11:52:47
prix de la crypto : 31444.65, prix de la prédiction : 31409.545052083333
prix crypto up : 18.022, prix de la prédiction : 17.947546005249023
prix crypto down : 0.019049, prix de la prédiction : 0.03850145960847537programme toujours en cour d'exécution le : lundi 06 juin 2022 11:37:48
prix de la crypto : 31385.29, prix de la prédiction : 31318.228515625
prix crypto up : 17.943, prix de la prédiction : 17.990550994873047
prix crypto down : 0.019129, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 11:22:49
prix de la crypto : 31461.81, prix de la prédiction : 31433.247135416666
prix crypto up : 18.045, prix de la prédiction : 18.033756256103516
prix crypto down : 0.01903, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 11:07:50
prix de la crypto : 31432.39, prix de la prédiction : 31385.98671875
prix crypto up : 18.028, prix de la prédiction : 18.03384017944336
prix crypto down : 0.019047, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 10:52:51
prix de la crypto : 31431.22, prix de la prédiction : 31399.652473958333
prix crypto up : 18.009, prix de la prédiction : 18.100366592407227
prix crypto down : 0.019057, prix de la prédiction : 0.03346870889266332programme toujours en cour d'exécution le : lundi 06 juin 2022 10:37:51
prix de la crypto : 31420.67, prix de la prédiction : 31386.386458333334
prix crypto up : 18.001, prix de la prédiction : 17.980865478515625
prix crypto down : 0.019085, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 10:22:52
prix de la crypto : 31375.83, prix de la prédiction : 31323.313541666666
prix crypto up : 17.938, prix de la prédiction : 17.96169090270996
prix crypto down : 0.019151, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 10:07:53
prix de la crypto : 31312.67, prix de la prédiction : 31238.200911458334
prix crypto up : 17.85, prix de la prédiction : 17.875926971435547
prix crypto down : 0.01924, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 09:52:54
prix de la crypto : 31275.05, prix de la prédiction : 31202.506901041666
prix crypto up : 17.761, prix de la prédiction : 17.675664774576823
prix crypto down : 0.0193, prix de la prédiction : 0.04800499801834424programme toujours en cour d'exécution le : lundi 06 juin 2022 09:37:55
prix de la crypto : 31241.88, prix de la prédiction : 31150.500911458334
prix crypto up : 17.711, prix de la prédiction : 17.697078704833984
prix crypto down : 0.019334, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 09:22:56
prix de la crypto : 31342.41, prix de la prédiction : 31244.517708333333
prix crypto up : 17.85, prix de la prédiction : 17.752992630004883
prix crypto down : 0.019167, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 09:07:57
prix de la crypto : 31302.37, prix de la prédiction : 31226.903776041665
prix crypto up : 17.829, prix de la prédiction : 17.815567016601562
prix crypto down : 0.019218, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 08:52:58
prix de la crypto : 31334.77, prix de la prédiction : 31242.072916666668
prix crypto up : 17.892, prix de la prédiction : 17.783061981201172
prix crypto down : 0.019194, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 08:37:59
prix de la crypto : 31262.01, prix de la prédiction : 31148.313411458334
prix crypto up : 17.75, prix de la prédiction : 17.613306045532227
prix crypto down : 0.0193, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 08:23:00
prix de la crypto : 31246.44, prix de la prédiction : 31140.66015625
prix crypto up : 17.69, prix de la prédiction : 17.629627227783203
prix crypto down : 0.019319, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 08:08:00
prix de la crypto : 31184.1, prix de la prédiction : 31101.485286458334
prix crypto up : 17.616, prix de la prédiction : 17.572189203898112
prix crypto down : 0.01945, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 07:53:00
prix de la crypto : 31167.84, prix de la prédiction : 31075.274348958334
prix crypto up : 17.6, prix de la prédiction : 17.562458038330078
prix crypto down : 0.019479, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 07:38:01
prix de la crypto : 31229.03, prix de la prédiction : 31139.615885416668
prix crypto up : 17.684, prix de la prédiction : 17.64972686767578
prix crypto down : 0.019392, prix de la prédiction : 0.040442888935407005programme toujours en cour d'exécution le : lundi 06 juin 2022 07:23:02
prix de la crypto : 31182.58, prix de la prédiction : 31099.479427083334
prix crypto up : 17.637, prix de la prédiction : 17.630760192871094
prix crypto down : 0.01944, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 07:08:03
prix de la crypto : 31245.79, prix de la prédiction : 31170.432291666668
prix crypto up : 17.709, prix de la prédiction : 17.841636657714844
prix crypto down : 0.01935, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 06:53:03
prix de la crypto : 31277.8, prix de la prédiction : 31200.43515625
prix crypto up : 17.766, prix de la prédiction : 17.803924560546875
prix crypto down : 0.01929, prix de la prédiction : 0.03676657130320867programme toujours en cour d'exécution le : lundi 06 juin 2022 06:38:04
prix de la crypto : 31223.54, prix de la prédiction : 31143.728645833333
prix crypto up : 17.68, prix de la prédiction : 17.663175582885742
prix crypto down : 0.0194, prix de la prédiction : 0.031193271030982336programme toujours en cour d'exécution le : lundi 06 juin 2022 06:23:05
prix de la crypto : 31170.09, prix de la prédiction : 31101.215755208334
prix crypto up : 17.591, prix de la prédiction : 17.640609741210938
prix crypto down : 0.019479, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 06:08:06
prix de la crypto : 31211.37, prix de la prédiction : 31210.648958333335
prix crypto up : 17.68, prix de la prédiction : 17.87683868408203
prix crypto down : 0.01942, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 05:53:07
prix de la crypto : 31189.69, prix de la prédiction : 31144.836848958334
prix crypto up : 17.623, prix de la prédiction : 17.71239471435547
prix crypto down : 0.01944, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 05:38:08
prix de la crypto : 31094.8, prix de la prédiction : 31092.4375
prix crypto up : 17.479, prix de la prédiction : 17.671743392944336
prix crypto down : 0.019615, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 05:23:08
prix de la crypto : 31086.72, prix de la prédiction : 31056.657161458334
prix crypto up : 17.458, prix de la prédiction : 17.60279655456543
prix crypto down : 0.019614, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 05:08:09
prix de la crypto : 31000.84, prix de la prédiction : 30996.313541666666
prix crypto up : 17.321, prix de la prédiction : 17.51337242126465
prix crypto down : 0.019742, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 04:53:11
prix de la crypto : 30965.54, prix de la prédiction : 30974.470963541666
prix crypto up : 17.276, prix de la prédiction : 17.472658157348633
prix crypto down : 0.019814, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 04:38:11
prix de la crypto : 30997.84, prix de la prédiction : 30977.402213541667
prix crypto up : 17.342, prix de la prédiction : 17.49852752685547
prix crypto down : 0.019769, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 04:23:12
prix de la crypto : 30940.01, prix de la prédiction : 30885.801041666666
prix crypto up : 17.254, prix de la prédiction : 17.35423075358073
prix crypto down : 0.01984, prix de la prédiction : 0.026936144630114237programme toujours en cour d'exécution le : lundi 06 juin 2022 04:08:13
prix de la crypto : 30907.74, prix de la prédiction : 30876.320572916666
prix crypto up : 17.182, prix de la prédiction : 17.224201202392578
prix crypto down : 0.01991, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 03:53:14
prix de la crypto : 30829.86, prix de la prédiction : 30762.211979166666
prix crypto up : 17.054, prix de la prédiction : 17.143644332885742
prix crypto down : 0.020028, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 03:38:15
prix de la crypto : 30643.88, prix de la prédiction : 30602.496484375
prix crypto up : 16.76, prix de la prédiction : 16.88715934753418
prix crypto down : 0.020343, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 03:23:16
prix de la crypto : 30553.89, prix de la prédiction : 30488.511588541667
prix crypto up : 16.642, prix de la prédiction : 16.63983917236328
prix crypto down : 0.020502, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 03:08:17
prix de la crypto : 30424.99, prix de la prédiction : 30348.820182291667
prix crypto up : 16.453, prix de la prédiction : 16.483659998575845
prix crypto down : 0.020771, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 02:53:18
prix de la crypto : 30263.82, prix de la prédiction : 30201.155859375
prix crypto up : 16.192, prix de la prédiction : 16.2122553507487
prix crypto down : 0.020952, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 02:38:19
prix de la crypto : 30053.4, prix de la prédiction : 30012.617708333335
prix crypto up : 15.869, prix de la prédiction : 15.991872723897298
prix crypto down : 0.021326, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 02:23:20
prix de la crypto : 30001.86, prix de la prédiction : 29941.232291666667
prix crypto up : 15.825, prix de la prédiction : 15.853780746459961
prix crypto down : 0.021394, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 02:08:21
prix de la crypto : 29968.17, prix de la prédiction : 29885.97421875
prix crypto up : 15.713, prix de la prédiction : 15.694135665893555
prix crypto down : 0.021479, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 01:53:22
prix de la crypto : 29909.4, prix de la prédiction : 29801.812630208333
prix crypto up : 15.64, prix de la prédiction : 15.599706776936848
prix crypto down : 0.02153, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 01:38:22
prix de la crypto : 29915.49, prix de la prédiction : 29813.219010416666
prix crypto up : 15.678, prix de la prédiction : 15.714759000142415
prix crypto down : 0.021552, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 01:23:23
prix de la crypto : 29995.95, prix de la prédiction : 29914.211848958334
prix crypto up : 15.792, prix de la prédiction : 15.810234959920248
prix crypto down : 0.02143, prix de la prédiction : 0.05487879738211632programme toujours en cour d'exécution le : lundi 06 juin 2022 01:08:24
prix de la crypto : 30007.68, prix de la prédiction : 29919.076692708335
prix crypto up : 15.838, prix de la prédiction : 15.790738042195638
prix crypto down : 0.02136, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 00:53:24
prix de la crypto : 30038.58, prix de la prédiction : 29939.164322916666
prix crypto up : 15.897, prix de la prédiction : 15.886935170491537
prix crypto down : 0.021379, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 00:38:25
prix de la crypto : 29912.98, prix de la prédiction : 29818.619401041666
prix crypto up : 15.64, prix de la prédiction : 15.611365445454915
prix crypto down : 0.021607, prix de la prédiction : 0.032157693554957706programme toujours en cour d'exécution le : lundi 06 juin 2022 00:23:26
prix de la crypto : 30035.18, prix de la prédiction : 29954.48828125
prix crypto up : 15.84, prix de la prédiction : 15.832723553975423
prix crypto down : 0.021345, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : lundi 06 juin 2022 00:08:26
prix de la crypto : 30061.87, prix de la prédiction : 29972.860286458334
prix crypto up : 15.882, prix de la prédiction : 15.84159558614095
prix crypto down : 0.02124, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 23:53:26
prix de la crypto : 29935.79, prix de la prédiction : 29848.313411458334
prix crypto up : 15.736, prix de la prédiction : 15.658226903279623
prix crypto down : 0.021526, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 23:38:27
prix de la crypto : 29882.22, prix de la prédiction : 29798.690364583334
prix crypto up : 15.614, prix de la prédiction : 15.67396920522054
prix crypto down : 0.02155, prix de la prédiction : 0.025886659199992817programme toujours en cour d'exécution le : dimanche 05 juin 2022 23:23:27
